day,h,t,rh,ws,wd,vis
2021-04-21,3,10.5,79.5,1.0,140.0,10.0
2021-04-21,6,9.5,85.0,0.0,0.0,10.0
2021-04-21,9,14.0,75.3,0.0,0.0,5.0
2021-04-21,12,20.4,58.5,1.0,140.0,10.0
2021-04-21,15,22.5,44.4,2.0,180.0,15.0
2021-04-21,18,22.0,44.3,2.0,180.0,13.0
2021-04-21,21,18.3,54.2,2.0,320.0,10.0
2021-04-22,0,16.9,53.8,1.0,50.0,10.0
2021-04-22,3,14.9,46.0,1.0,180.0,10.0
2021-04-22,6,15.5,45.9,1.0,230.0,12.0
2021-04-22,9,17.6,55.1,1.0,90.0,10.0
2021-04-22,12,21.7,40.5,1.0,140.0,15.0
2021-04-22,15,22.0,40.8,3.0,140.0,15.0
2021-04-22,18,20.8,42.2,1.0,90.0,15.0
2021-04-22,21,17.1,47.3,4.0,360.0,10.0
2021-04-23,0,20.3,41.5,2.0,90.0,4.5
2021-04-23,3,18.6,46.1,2.0,140.0,4.5
2021-04-23,6,17.3,45.1,5.0,50.0,10.0
2021-04-23,9,18.0,52.7,4.0,50.0,10.0
2021-04-23,12,19.6,47.0,3.0,50.0,10.0
2021-04-23,15,19.2,49.5,4.0,50.0,4.5
2021-04-23,18,16.9,55.7,5.0,50.0,4.5
2021-04-23,21,15.5,66.5,3.0,50.0,4.5
2021-04-24,0,15.9,61.8,6.0,50.0,10.0
2021-04-24,3,17.6,51.2,3.0,50.0,10.0
2021-04-24,6,14.7,64.6,1.0,360.0,15.0
2021-04-24,9,16.0,51.8,2.0,90.0,15.0
2021-04-24,12,17.3,59.7,4.0,50.0,4.5
2021-04-24,15,21.0,54.9,3.0,320.0,10.0
2021-04-24,18,20.7,47.3,1.0,360.0,15.0
2021-04-24,21,16.9,53.8,1.0,360.0,10.0
2021-04-25,0,13.7,67.5,2.0,360.0,10.0
2021-04-25,3,12.5,71.5,1.0,320.0,10.0
2021-04-25,6,14.1,69.0,4.0,360.0,10.0
2021-04-25,9,17.0,60.5,5.0,50.0,15.0
2021-04-25,12,18.9,50.8,6.0,50.0,15.0
2021-04-25,15,21.0,46.5,0.0,0.0,15.0
2021-04-25,18,20.2,47.8,3.0,270.0,10.0
2021-04-25,21,16.6,64.6,2.0,360.0,10.0
2021-04-26,0,14.6,69.5,1.0,320.0,10.0
2021-04-26,3,12.5,78.7,0.0,0.0,10.0
2021-04-26,6,13.7,69.4,2.0,90.0,10.0
2021-04-26,9,13.6,62.2,6.0,140.0,15.0
2021-04-26,12,16.3,75.2,5.0,180.0,15.0
2021-04-26,15,17.9,68.8,5.0,230.0,15.0
2021-04-26,18,15.6,72.6,2.0,230.0,12.0
2021-04-26,21,13.7,72.2,2.0,320.0,10.0
2021-04-27,0,12.8,71.1,0.0,0.0,10.0
2021-04-27,3,11.9,84.1,0.0,0.0,10.0
2021-04-27,6,11.9,87.0,0.0,0.0,10.0
2021-04-27,9,12.7,85.9,2.0,180.0,4.5
2021-04-27,12,13.4,81.5,2.0,230.0,10.0
2021-04-27,15,13.5,73.7,2.0,140.0,10.0
2021-04-27,18,12.4,91.8,1.0,180.0,4.5
2021-04-27,21,11.9,91.1,1.0,180.0,4.5
2021-04-28,0,11.9,91.1,3.0,320.0,4.5
2021-04-28,3,10.9,92.3,0.0,0.0,4.5
2021-04-28,6,9.7,92.8,0.0,0.0,10.0
2021-04-28,9,10.7,93.5,0.0,0.0,13.0
2021-04-28,12,15.1,79.1,1.0,180.0,6.0
2021-04-28,15,15.9,79.7,3.0,90.0,6.0
2021-04-28,18,17.4,56.2,3.0,140.0,10.0
